Fridge1,Fridge2,MW1,MW2,Coffee1,Coffee2,Charger,Tele1,Tele2,Tele3,Tele4,Tele5,Tele6,Tele7,Tele8,Tele9,Tele10,Tele11,Tele12,Tele13,Tele14,Tele15,Tele16,Tele17,Tele18,Tele19,Tele20,Stereo,Laptop1,Laptop2,Laptop3,Kettle,Shaver,DishWash,WashMach,Elec,Oven,Toas,Waff,Hair,Iron,Vacuum,Sauna,Radio,Radio_Standby,Elecheat,Dryer,Fan,Mixer,Blender,Router,Dehumidifyer,Bread,Game,Vivarium,Pump
0.840722222,0.988753333,0.928201818,0.680586364,0.771490833,0.347539167,0.97141,0.0096,0.0096,0.0052,1.046,0.0008,0.968738462,0.001155556,0.965622222,0.98032381,0.971409524,0,0.80124,0,0,1.0106125,1.006725,0.988215385,0,0,0.000515,0.832585714,0.688977778,1,1,0.99186,1,0.070308789,0.001768345,0.939458686,0.010144644,0.5,0.010144644,0.235579515,0,0.86351706,0.840722222,0.058823529,0.044117647,0.034608379,0.651019578,0.5,0.5,0.5,0.885057573,0.840722222,1,0.696850366,0.696850366,0.696850366
0.828011111,0.993613333,0.930567273,0.962074545,0.000606667,0.000606667,0.97042,0.0096,0.0096,0.0052,1.0512,0.0008,0.969538462,0.002311111,0.965622222,0.9724,0.970419048,0,0,0,0,1.0132,1.0041375,0.986623077,0.000792308,0,0.000515,0.862171429,0.952377778,1,1,0.97439,1,0.070308789,0.00397878,0.972934476,0.400091627,0.997159091,0.400091627,0.43809524,0.80578239,0.985126859,0.828011111,0.183823529,0.058823529,0.415300546,1,0.997159091,0.997159091,0.997159091,0.885057573,0.828011111,,0.771653474,0.771653474,0.771653474
0.831477778,0.98598,0.917036364,0.678694545,0.00078,0.000606667,0.97042,0.0096,0.0096,0.0052,1.046,0.0008,0.517992308,0.001155556,0.965622222,0.9724,0.970419048,0,0,0,0,1.0144875,1.0054375,0.988215385,0.003976923,0.073495,0.000515,0.934628571,0.944333333,1,1,0.97184,1,0.069833729,0.00397878,0.955662393,1,0.992897727,1,0.171967655,1,0.992125984,0.831477778,0.117647059,0.058823529,0.778688525,0.971833841,0.992897727,0.992897727,0.992897727,0.885057573,0.831477778,,0.740157491,0.740157491,0.740157491
0.823377778,0.970713333,0.914576364,0.675571818,0.744863333,0.000606667,0.96843,0.0096,0.0096,0.0052,1.046,0.114484615,0.979946154,0.001155556,0.965622222,0.974380952,0.968428571,0,0,0,0.626866667,1.0144875,1.0054375,0.989015385,0.000792308,1.03106,0.000515,0.925757143,0.887966667,0.916666667,0.916666667,0.97012,1,0.070783848,0.003868259,0.945940171,0.557595392,0.992897727,0.557595392,0.479424976,0.994372103,0.98687664,0.823377778,0.098039216,0.058823529,1,0.955964598,0.992897727,0.992897727,0.992897727,0.885057573,0.823377778,,0.738188947,0.738188947,0.738188947
0.811811111,0.980426667,0.928769091,0.949963636,0.000606667,0.000606667,0.97141,0.0096,0.0096,0.0052,1.046,0.094469231,0.990353846,0.002311111,0.965622222,0.983304762,0.971409524,0,0,0,0.0023,1.0132,1.0041375,0.984238462,0.000792308,0.747415,0.000515,0.946471429,0.886822222,1,1,0.96772,1,0.070783848,0.004310345,0.94465812,0.664048697,0.992897727,0.664048697,0.632345013,0.99249614,0.988626422,0.811811111,0.117647059,0.044117647,1,0.944480175,0.992897727,0.992897727,0.992897727,0.885057573,0.811811111,,0.77559056,0.77559056,0.77559056
0.801411111,0.978346667,0.928201818,0.673584545,0.984073333,0.000606667,0.97339,0.0096,0.0096,0.0052,1.0512,0.960730769,0.979146154,0.001155556,0.966777778,0.9724,0.973390476,0,0,0,0.003444444,1.0093125,1.0041375,0.977069231,0.000792308,0.746895,0.000515,0.939071429,0.877622222,1,1,0.96796,1,0.070783848,0.015583554,0.93883547,0.998320137,0.992897727,0.998320137,0.620844566,0.989406312,0.98687664,0.801411111,0.117647059,0.058823529,0.996357013,0.939431224,0.992897727,0.992897727,0.992897727,0.885057573,0.801411111,,0.765354301,0.765354301,0.765354301
0.794466667,0.97904,0.929526364,0.668380909,0.980951667,,0.9724,0.0096,0.0096,0.0052,1.0512,0.458746154,0.974346154,0.001155556,0.964466667,0.975371429,0.9724,0,0,0,0.003444444,1.008025,1.0041375,0.980253846,0,0.746895,0.000515,0.946471429,0.879922222,1,1,0.96698,1,0.069833729,0.00397878,0.937606838,0.43674324,0.996448864,0.43674324,0.630188679,0.985212979,0.98687664,0.794466667,0.117647059,0.058823529,0.998178506,0.931629429,0.996448864,0.996448864,0.996448864,0.885057573,0.794466667,,0.797244063,0.797244063,0.797244063
0.787533333,0.97696,0.937758182,0.954978182,0.000606667,,0.97438,0.0096,0.0096,0.0052,1.046,0.460346154,0.983146154,0.001155556,0.966777778,0.973390476,0.974380952,0,0,0,0.0046,1.0093125,1.006725,0.985830769,0.000792308,0.76553,0.000515,0.955342857,0.884522222,1,1,0.90031,1,0.070783848,0.00397878,0.938746442,0.837162117,1,0.837162117,0.631985623,0.326701769,0.988626422,0.787533333,0.132352941,0.058823529,0.996357013,0.926667918,1,1,1,0.885057573,0.787533333,,0.798425165,0.798425165,0.798425165
0.7829,0.97002,0.937569091,0.665826364,0.000606667,,0.97141,0.0096,0.0096,0.0052,1.0564,0.450738462,0.983953846,0.001155556,0.966777778,0.973390476,0.971409524,0,0,0,0.0023,1.0106125,1.0054375,0.980253846,0.000792308,0.783645,0.000515,0.946471429,0.7626,1,1,0.90104,1,0.070308789,0.018125554,0.940972222,0.993258719,0.997159091,0.993258719,0,0.0002207,0.990376203,0.7829,0.147058824,0.058823529,0.998178506,0.925309695,0.997159091,0.997159091,0.997159091,0.885057573,0.7829,,0.79527552,0.79527552,0.79527552
0.777122222,0.964466667,0.938988182,0.663839091,0.2213425,,0.97042,0.0096,0.0096,0.0052,1.046,0.458746154,0.981546154,0.002311111,0.966777778,0.975371429,0.970419048,0,0,0,0.0046,1.0106125,1.0054375,0.977069231,0.000792308,0.760355,0.000515,0.976042857,0.748788889,1,1,0.89923,1,0.07046714,0.005747125,0.943910256,0.379193665,0.998579545,0.379193665,0,0,0.998250219,0.777122222,0.117647059,0.058823529,0.996357013,0.921031291,0.998579545,0.998579545,0.998579545,0.831417452,0.777122222,,0.798425165,0.798425165,0.798425165
